province,month,day,PM2.5,PM10,SO2,NO2,CO,O3,SO2-AQI,NO2-AQI,PM10-AQI,CO-AQI,PM2.5-AQI,O3-AQI,AQI,data,type
江西省,11,11,28.9867278972884,39.416088828720966,10.43980645657406,17.53277424122388,0.7587627710557747,31.31074771932036,10.43980645657406,21.91596780152985,39.416088828720966,18.969069276394368,41.409611281840576,15.65537385966018,41.409611281840576,28.9867278972884,PM2.5
江西省,11,12,27.213916746190367,38.15119534883895,10.117007858591862,16.591136715116104,0.7893312008228452,35.47771907165835,10.117007858591862,20.73892089389513,38.15119534883895,19.73328002057113,38.877023923129094,17.738859535829175,38.877023923129094,27.213916746190367,PM2.5
江西省,11,13,25.86534052910267,41.882103851197655,13.25283553936573,16.586709974447384,0.7720039930649335,31.908221970522217,13.25283553936573,20.73338746805923,41.882103851197655,19.300099826623338,36.95048647014667,15.954110985261108,41.882103851197655,41.882103851197655,PM10
江西省,11,14,29.022798196237485,40.97391146049023,13.228534697464847,17.889623675855404,0.6931397610237852,32.04758378721859,13.228534697464847,22.362029594819255,40.97391146049023,17.32849402559463,41.461140280339265,16.023791893609296,41.461140280339265,29.022798196237485,PM2.5
江西省,11,15,23.784872987900396,31.526898673304643,10.001457481079363,17.99649151159546,0.6472077432824982,27.48708742467755,10.001457481079363,22.49561438949432,31.526898673304643,16.180193582062454,33.97838998271485,13.743543712338775,33.97838998271485,23.784872987900396,PM2.5
江西省,11,16,20.950047009383795,32.229096520763186,8.993144769891428,16.457689545109446,0.6445871534717346,30.734017075463495,8.993144769891428,20.572111931386807,32.229096520763186,16.114678836793363,29.928638584833994,15.367008537731747,32.229096520763186,32.229096520763186,PM10
江西省,11,17,18.938155299279185,30.175168864821718,10.31940632258413,14.699660499078727,0.5999812744197771,34.9576450647293,10.31940632258413,18.374575623848408,30.175168864821718,14.999531860494427,27.054507570398837,17.47882253236465,30.175168864821718,30.175168864821718,PM10
江西省,11,18,13.675441959703988,21.744239122883616,9.122904847644598,17.709194802301084,0.6894009251006801,19.13957626210111,9.122904847644598,22.136493502876355,21.744239122883616,17.235023127517003,19.536345656719984,9.569788131050554,22.136493502876355,17.709194802301084,NO2
江西省,11,19,18.106653244416837,30.565284186562597,11.25260024637342,15.791030367549531,0.7104213878235716,28.89186013094402,11.25260024637342,19.738787959436912,30.565284186562597,17.76053469558929,25.866647492024054,14.44593006547201,30.565284186562597,30.565284186562597,PM10
江西省,11,20,23.44883103914967,35.01528960767809,12.81064452006698,19.426056742409237,0.7594855581963426,24.476218874349556,12.81064452006698,24.282570928011545,35.01528960767809,18.987138954908563,33.4983300559281,12.238109437174778,35.01528960767809,35.01528960767809,PM10
江西省,11,21,24.921455627652037,36.111230243612596,8.152918611996375,18.33260749053218,0.8295757785820175,30.86138285108962,8.152918611996375,22.915759363165225,36.111230243612596,20.739394464550436,35.602079468074336,15.43069142554481,36.111230243612596,36.111230243612596,PM10
江西省,11,22,52.42147919855117,73.77891106774818,12.412045319880322,20.216453429872104,0.8513383568303354,58.46375929114376,12.412045319880322,25.27056678734013,61.88945553387409,21.283458920758385,71.77684899818897,29.23187964557188,71.77684899818897,52.42147919855117,PM2.5
江西省,11,23,47.87143467990961,74.38791525474593,15.487842660112712,25.166304676668645,0.8139872484500382,48.85179729521899,15.487842660112712,31.457880845835806,62.19395762737297,20.349681211250957,66.08929334988701,24.425898647609493,66.08929334988701,47.87143467990961,PM2.5
江西省,11,24,42.2028857120672,67.38056870547423,14.357785550844149,22.731742884129474,0.7678338779956426,45.533575036610905,14.357785550844149,28.414678605161843,58.690284352737116,19.195846949891067,59.003607140084,22.766787518305453,59.003607140084,42.2028857120672,PM2.5
江西省,11,25,42.30881805878152,68.3464016959554,13.486335078353347,24.247225930577315,0.8568831819382176,45.005333339335124,13.486335078353347,30.309032413221644,59.1732008479777,21.42207954845544,59.1360225734769,22.502666669667562,59.1732008479777,68.3464016959554,PM10
江西省,11,26,45.667878780751664,74.79351038684526,13.90006635352335,26.128725702884466,0.8981326192705427,47.68437337501575,13.90006635352335,32.66090712860559,62.39675519342263,22.453315481763568,63.33484847593958,23.842186687507876,63.33484847593958,45.667878780751664,PM2.5
江西省,11,27,42.602155699523465,72.03952066040681,13.84763747771836,25.60719467326263,0.796215753419519,43.342734995153556,13.84763747771836,32.00899334157829,61.019760330203404,19.905393835487974,59.50269462440433,21.671367497576778,61.019760330203404,72.03952066040681,PM10
江西省,11,28,39.24738498472545,69.18877867241939,14.906915826416274,24.540286389218988,0.747506427540407,45.28354681057455,14.906915826416274,30.675357986523736,59.594389336209694,18.687660688510174,55.30923123090681,22.641773405287275,59.594389336209694,69.18877867241939,PM10
江西省,11,29,45.62372413191632,75.54217780411062,20.37852998268484,25.378056593489863,0.7648842990211082,46.26066147586981,20.37852998268484,31.722570741862327,62.77108890205531,19.122107475527706,63.2796551648954,23.130330737934905,63.2796551648954,45.62372413191632,PM2.5
江西省,11,30,50.098230523445984,78.81039585096359,19.58701643402234,28.71836462890941,0.8338830281423867,44.063963655044205,19.58701643402234,35.89795578613676,64.40519792548179,20.847075703559668,68.87278815430747,22.031981827522102,68.87278815430747,50.098230523445984,PM2.5
江西省,12,1,69.21774125801988,94.4317227188702,17.29091613513327,24.738763346102132,0.9874022432434866,50.51151186328526,17.29091613513327,30.923454182627665,72.21586135943511,24.685056081087165,92.77217657252486,25.25575593164263,92.77217657252486,69.21774125801988,PM2.5
江西省,12,2,59.59342023060372,76.12128437711938,13.179344896904276,24.77060756855543,1.0021176249272286,29.10305794426739,13.179344896904276,30.96325946069429,63.06064218855969,25.052940623180714,80.74177528825464,14.551528972133696,80.74177528825464,59.59342023060372,PM2.5
江西省,12,3,34.90782737618311,48.252335293667514,13.402535368914942,20.577304684545997,0.9604150506851039,28.18200975553215,13.402535368914942,25.721630855682495,48.252335293667514,24.010376267127597,49.868324823118726,14.091004877766075,49.868324823118726,34.90782737618311,PM2.5
江西省,12,4,19.123374865709984,33.150498725745265,7.975209370892526,24.707885108887453,1.4930101025105484,14.216090723410575,7.975209370892526,30.884856386109316,33.150498725745265,37.32525256276371,27.319106951014263,7.108045361705288,37.32525256276371,1.4930101025105484,CO
江西省,12,5,19.9684136338879,35.5578353341796,11.676813435528787,19.923565004996487,0.9690381755012993,16.079234193539676,11.676813435528787,24.90445625624561,35.5578353341796,24.225954387532482,28.526305191268428,8.039617096769838,35.5578353341796,35.5578353341796,PM10
